 RAINS-DIS_HR_HPC-MV_FINAL        eM-Test Expert (R)     licence #1 AAAAAAAA TECHNOLOGY INC, 

 Part Pins List          0/2747 Selected Parts             10-Jan-2011 9:00
                                                           INCH units

Part        T/B
Pin   Name      X         Y     Layer  Net               Nail(s)

Part CN2    (T)

 960  AT6    -5.986    -1.824     2    M_B_DQ43          946
 961  AT7    -5.986    -1.784     2    GND               1
 962  AT8    -5.986    -1.745     2    M_B_DQ50          940
 963  AT9    -5.986    -1.706     2    M_B_DQ51          939
 964 AT10    -5.986    -1.666     2    GND               1
 965 AT11    -5.986    -1.627     2    M_B_DQ56          936
 966 AT12    -5.986    -1.587     2    M_B_DQ60          933
 967 AT13    -5.986    -1.548     2    GND               1
 968 AT14    -5.986    -1.509     2    M_B_DQ59          1030
 969 AT15    -5.986    -1.469     2    M_B_DQ63          935
 970 AT16    -5.986    -1.430     2    GND               1
 971 AT17    -5.986    -1.391     2    +GFXCORE          33
 972 AT18    -5.986    -1.351     2    +GFXCORE          33
 973 AT19    -5.986    -1.312     2    GND               1
 974 AT20    -5.986    -1.272     2    +GFXCORE          33
 975 AT21    -5.986    -1.233     2    +GFXCORE          33
 976 AT22    -5.986    -1.194     2    GND               1
 977 AT23    -5.986    -1.154     2    +GFXCORE          33
 978 AT24    -5.986    -1.115     2    +GFXCORE          33
 979 AT25    -5.986    -1.076     2    GND               1
 980 AT26    -5.986    -1.036     2    NC__2515          
 981 AT27    -5.986    -0.997     2    GND               1
 982 AT28    -5.986    -0.957     2    XDP_BPM0_R        1662
 983 AT29    -5.986    -0.918     2    GND               1
 984 AT30    -5.986    -0.879     2    XDP_BPM3_R        
 985 AT31    -5.986    -0.839     2    XDP_BPM6_R        
 986 AT32    -5.986    -0.800     2    GND               1
 987 AT33    -5.986    -0.761     2    NC__2516          
 988 AT34    -5.986    -0.721     2    NC__2517          
 989 AT35    -5.986    -0.682     2    GND               1

Part U37    (B)

   1   A3    -1.188    -3.979     2    GND               1
   2   A5    -1.188    -3.943     2    FBAD63            
   3   A6    -1.188    -3.908     2    FBAD60            
   4   A8    -1.188    -3.845     2    FBAD57            
   5  A10    -1.188    -3.782     2    FBAD46            
   6  A12    -1.188    -3.719     2    FBAD43            
   7  A14    -1.188    -3.656     2    FBADQM5           
   8  A16    -1.188    -3.593     2    FBAD36            
   9  A18    -1.188    -3.530     2    FBAD33            
  10  A20    -1.188    -3.467     2    FBAD28            
  11  A22    -1.188    -3.404     2    FBAD25            
  12  A24    -1.188    -3.341     2    FBAD22            1314
  13  A26    -1.188    -3.278     2    FBAD19            
  14  A28    -1.188    -3.215     2    FBAD14            
  15  A30    -1.188    -3.152     2    FBAD11            
  16  A32    -1.188    -3.089     2    FBADQM0           
  17  A34    -1.188    -3.026     2    FBAWDQS0          
  18  A35    -1.188    -2.990     2    FBAD2             
  19  A37    -1.188    -2.955     2    GND               1
  20  A39    -1.188    -2.924     2    N87824391         1504
  21   B7    -1.204    -3.876     2    GND               1
  22   B9    -1.204    -3.813     2    GND               1
  23  B11    -1.204    -3.750     2    GND               1
  24  B13    -1.204    -3.687     2    GND               1
  25  B15    -1.204    -3.624     2    GND               1
  26  B17    -1.204    -3.561     2    GND               1
  27  B19    -1.204    -3.498     2    GND               1
  28  B21    -1.204    -3.435     2    GND               1
  29  B23    -1.204    -3.372     2    GND               1
  30  B25    -1.204    -3.309     2    GND               1
  31  B27    -1.204    -3.246     2    GND               1
  32  B29    -1.204    -3.183     2    GND               1
  33  B31    -1.204    -3.120     2    GND               1
  34  B33    -1.204    -3.057     2    GND               1
  35   C1    -1.220    -4.010     2    GND               1
  36   C3    -1.220    -3.979     2    FBCD1             
  37   C5    -1.220    -3.943     2    FBCD0             
  38   C6    -1.220    -3.908     2    FBAD61            
  39   C8    -1.220    -3.845     2    FBAD58            
  40  C10    -1.220    -3.782     2    FBAD47            
  41  C12    -1.220    -3.719     2    FBAWDQS5          
  42  C14    -1.220    -3.656     2    FBADQM4           
  43  C16    -1.220    -3.593     2    FBAWDQS4          1317
  44  C18    -1.220    -3.530     2    FBAD32            
  45  C20    -1.220    -3.467     2    FBAWDQS3          1315
  46  C22    -1.220    -3.404     2    FBAD24            
  47  C24    -1.220    -3.341     2    FBAD21            
  48  C26    -1.220    -3.278     2    FBAD18            
  49  C28    -1.220    -3.215     2    FBAD13            
  50  C30    -1.220    -3.152     2    FBAD10            
  51  C32    -1.220    -3.089     2    FBADQM1           
  52  C34    -1.220    -3.026     2    FBARDQS0          
  53  C35    -1.220    -2.990     2    FBAD1             
  54  C37    -1.220    -2.955     2    FBAD0             
  55  C39    -1.220    -2.924     2    GND               1
  56   D7    -1.236    -3.876     2    FBARDQS7          
  57   D9    -1.236    -3.813     2    FBADQM7           
  58  D11    -1.236    -3.750     2    FBAD44            
  59  D13    -1.236    -3.687     2    FBAD41            
  60  D15    -1.236    -3.624     2    FBAD38            
  61  D17    -1.236    -3.561     2    FBAD35            
  62  D19    -1.236    -3.498     2    FBAD30            
  63  D21    -1.236    -3.435     2    FBAD27            
  64  D23    -1.236    -3.372     2    FBADQM2           
  65  D25    -1.236    -3.309     2    FBARDQS2          1313
  66  D27    -1.236    -3.246     2    FBAD16            
  67  D29    -1.236    -3.183     2    FBARDQS1          
  68  D31    -1.236    -3.120     2    FBAD8             
  69  D33    -1.236    -3.057     2    FBAD5             
  70   E1    -1.255    -4.010     2    FBCD3             
  71   E3    -1.255    -3.979     2    FBCD2             
  72   E5    -1.255    -3.943     2    GND               1
  73   E6    -1.251    -3.908     2    FBAD62            
  74   E8    -1.251    -3.845     2    FBAD59            
  75  E10    -1.251    -3.782     2    FBADQM6           
  76  E12    -1.251    -3.719     2    FBARDQS5          
  77  E14    -1.251    -3.656     2    FBAD39            
  78  E16    -1.251    -3.593     2    FBARDQS4          
  79  E18    -1.251    -3.530     2    FBAD31            1316
  80  E20    -1.251    -3.467     2    FBARDQS3          
  81  E22    -1.251    -3.404     2    FBADQM3           
  82  E24    -1.251    -3.341     2    FBAD23            
  83  E26    -1.251    -3.278     2    FBAWDQS2          
  84  E28    -1.251    -3.215     2    FBAD15            
  85  E30    -1.251    -3.152     2    FBAWDQS1          
  86  E32    -1.251    -3.089     2    FBAD7             
  87  E34    -1.251    -3.026     2    FBAD3             
  88  E35    -1.255    -2.990     2    GND               1
  89  E37    -1.255    -2.955     2    NC__2249          
  90  E39    -1.255    -2.924     2    GND               1
  91   F1    -1.291    -4.010     2    FBCD4             
  92   F3    -1.291    -3.979     2    FBCD5             
  93   F5    -1.291    -3.947     2    FBCD6             
  94   F6    -1.283    -3.916     2    FBCRDQS0          
  95   F7    -1.283    -3.884     2    GND               1
  96   F8    -1.283    -3.853     2    FBAWDQS7          
  97   F9    -1.283    -3.821     2    GND               1
  98  F10    -1.283    -3.790     2    FBAD45            
  99  F11    -1.283    -3.758     2    GND               1
 100  F12    -1.283    -3.727     2    FBAD42            
 101  F13    -1.283    -3.695     2    GND               1
 102  F14    -1.283    -3.664     2    FBAD40            
 103  F15    -1.283    -3.632     2    GND               1
 104  F16    -1.283    -3.601     2    FBAD37            
 105  F17    -1.283    -3.569     2    GND               1
 106  F18    -1.283    -3.538     2    FBAD34            
 107  F19    -1.283    -3.506     2    GND               1
 108  F20    -1.283    -3.467     2    FBAD29            
 109  F21    -1.283    -3.427     2    GND               1
 110  F22    -1.283    -3.396     2    FBAD26            
 111  F23    -1.283    -3.364     2    GND               1
 112  F24    -1.283    -3.333     2    FBAD20            
 113  F25    -1.283    -3.301     2    GND               1
 114  F26    -1.283    -3.270     2    FBAD17            
 115  F27    -1.283    -3.238     2    GND               1
 116  F28    -1.283    -3.207     2    FBAD12            
 117  F29    -1.283    -3.175     2    GND               1
 118  F30    -1.283    -3.144     2    FBAD9             
 119  F31    -1.283    -3.112     2    GND               1
 120  F32    -1.283    -3.081     2    FBAD6             
 121  F33    -1.283    -3.050     2    GND               1
 122  F34    -1.283    -3.018     2    GND               1
 123  F35    -1.291    -2.987     2    NC__2250          
 124  F37    -1.291    -2.955     2    NC__2251          
 125  F39    -1.291    -2.924     2    GND               1
 126   G2    -1.322    -3.994     2    GND               1
 127   G4    -1.322    -3.963     2    FBCD7             
 128   G6    -1.314    -3.916     2    GND               1
 129   G7    -1.314    -3.884     2    FBCWDQS0          
 130   G8    -1.314    -3.853     2    FBAD53            
 131   G9    -1.314    -3.821     2    FBAD56            
 132  G10    -1.314    -3.790     2    FBAD52            
 133  G11    -1.314    -3.750     2    +1.5VRUNVGA       484
 134  G13    -1.314    -3.703     2    FBAD48            
 135  G14    -1.314    -3.656     2    +1.5VRUNVGA       484
 136  G16    -1.314    -3.609     2    FBA_A11           
 137  G17    -1.314    -3.561     2    +1.5VRUNVGA       484
 138  G19    -1.314    -3.514     2    FBA_ODTA1         
 139  G20    -1.314    -3.467     2    +1.5VRUNVGA       484
 140  G21    -1.314    -3.420     2    FBA_A7            
 141  G23    -1.314    -3.372     2    +1.5VRUNVGA       484
 142  G24    -1.314    -3.325     2    FBA_A0            
 143  G26    -1.314    -3.278     2    +1.5VRUNVGA       484
 144  G27    -1.314    -3.231     2    FBA_CLK0#         
 145  G29    -1.314    -3.183     2    +1.5VRUNVGA       484
 146  G30    -1.314    -3.144     2    PCIE_VDDC         485
 147  G31    -1.314    -3.112     2    PCIE_VDDC         485
 148  G32    -1.314    -3.081     2    FBAD4             
 149  G33    -1.314    -3.050     2    GND               1
 150  G34    -1.314    -3.018     2    GND               1
 151  G36    -1.322    -2.971     2    NC__2252          
 152  G38    -1.322    -2.939     2    NC__2253          
 153   H1    -1.354    -4.010     2    FBCDQM1           
 154   H3    -1.354    -3.979     2    FBCDQM0           
 155   H5    -1.354    -3.947     2    FBCD8             
 156   H6    -1.346    -3.916     2    FBCD9             
 157   H7    -1.346    -3.884     2    N18139123         535
 158   H8    -1.346    -3.853     2    N18139123         535
 159   H9    -1.346    -3.821     2    GND               1
 160  H10    -1.346    -3.790     2    +1.5VRUNVGA       484
 161  H11    -1.346    -3.750     2    FBAD51            
 162  H13    -1.346    -3.703     2    FBAD49            
 163  H14    -1.346    -3.656     2    FBA_CLK1#         
 164  H16    -1.346    -3.609     2    FBA_BA2           
 165  H17    -1.346    -3.561     2    FBA_BA1           
 166  H19    -1.346    -3.514     2    FBA_A8            
 167  H20    -1.346    -3.467     2    FBA_A9            
 168  H21    -1.346    -3.420     2    FBA_A6            
 169  H23    -1.346    -3.372     2    FBA_A13           
 170  H24    -1.346    -3.325     2    FBA_A2            
 171  H26    -1.346    -3.278     2    FBA_A4            
 172  H27    -1.346    -3.231     2    FBA_CLK0          
 173  H29    -1.346    -3.183     2    PCIE_VDDC         485
 174  H30    -1.346    -3.144     2    PCIE_VDDC         485
 175  H31    -1.346    -3.112     2    GND               1
 176  H32    -1.346    -3.081     2    NC__2254          
 177  H33    -1.346    -3.050     2    NC__2255          
 178  H34    -1.346    -3.018     2    GND               1
 179  H35    -1.354    -2.987     2    NC__2256          
 180  H37    -1.354    -2.955     2    NC__2257          
 181  H39    -1.354    -2.924     2    GND               1
 182   J2    -1.385    -3.994     2    GND               1
 183   J4    -1.385    -3.963     2    FBCD10            
 184   J6    -1.377    -3.916     2    GND               1
 185   J7    -1.377    -3.884     2    +1.5VRUNVGA       484
 186   J8    -1.377    -3.853     2    GND               1
 187   J9    -1.377    -3.821     2    +1.5VRUNVGA       484
 188  J10    -1.377    -3.790     2    FBARDQS6          
 189  J11    -1.377    -3.750     2    FBAWDQS6          
 190  J13    -1.377    -3.703     2    FBAD50            
 191  J14    -1.377    -3.656     2    FBA_CLK1          
 192  J16    -1.377    -3.609     2    FBA_A12           
 193  J17    -1.377    -3.561     2    FBA_BA0           
 194  J19    -1.377    -3.514     2    FBA_A14           
 195  J20    -1.377    -3.467     2    FBA_CKEA1         
 196  J21    -1.377    -3.420     2    FBA_ODTA0         
 197  J23    -1.377    -3.372     2    FBA_A1            
 198  J24    -1.377    -3.325     2    FBA_A3            
 199  J26    -1.377    -3.278     2    FBA_A5            
 200  J27    -1.377    -3.231     2    GND               1
 201  J29    -1.377    -3.183     2    PCIE_VDDC         485
 202  J30    -1.377    -3.144     2    PCIE_VDDC         485
 203  J31    -1.377    -3.112     2    GND               1
 204  J32    -1.377    -3.081     2    NC__2258          
 205  J33    -1.377    -3.050     2    NC__2259          
 206  J34    -1.377    -3.018     2    GND               1
 207  J36    -1.385    -2.971     2    NC__2260          
 208  J38    -1.385    -2.939     2    NC__2261          
 209   K1    -1.417    -4.010     2    FBCWDQS1          
 210   K3    -1.417    -3.979     2    FBCRDQS1          
 211   K5    -1.417    -3.947     2    FBCD12            
 212   K6    -1.409    -3.916     2    FBCD11            
 213   K7    -1.409    -3.884     2    GND               1
 214   K8    -1.409    -3.853     2    +1.5VRUNVGA       484
 215   K9    -1.409    -3.821     2    FBAD54            
 216  K10    -1.409    -3.790     2    FBAD55            
 217  K11    -1.409    -3.750     2    +1.5VRUNVGA       484
 218  K13    -1.409    -3.703     2    +1.5VRUNVGA       484
 219  K14    -1.409    -3.656     2    GND               1
 220  K16    -1.409    -3.609     2    NC__2262          
 221  K17    -1.409    -3.561     2    FBA_CASA1#        
 222  K19    -1.409    -3.514     2    FBA_RASA1#        
 223  K20    -1.409    -3.467     2    FBA_CASA0#        
 224  K21    -1.409    -3.420     2    FBA_CKEA0         
 225  K23    -1.409    -3.372     2    FBA_RASA0#        
 226  K24    -1.409    -3.325     2    FBA_CSA0_0#       
 227  K26    -1.409    -3.278     2    FBA_WEA0#         
 228  K27    -1.409    -3.231     2    NC__2263          
 229  K29    -1.409    -3.183     2    NC__2264          
 230  K30    -1.409    -3.144     2    NC__2265          
 231  K31    -1.409    -3.112     2    GND               1
 232  K32    -1.409    -3.081     2    NC__2266          
 233  K33    -1.409    -3.050     2    NC__2267          
 234  K34    -1.409    -3.018     2    GND               1
 235  K35    -1.417    -2.987     2    NC__2268          
 236  K37    -1.417    -2.955     2    NC__2269          
 237  K39    -1.417    -2.924     2    GND               1
 238   L2    -1.448    -3.994     2    GND               1
 239   L4    -1.448    -3.963     2    FBCD13            
 240   L6    -1.440    -3.916     2    GND               1
 241   L7    -1.448    -3.884     2    +1.5VRUNVGA       484
 242   L8    -1.448    -3.853     2    FBC_CLK0#         
 243   L9    -1.448    -3.821     2    FBC_CLK0          
 244  L10    -1.448    -3.790     2    NC__2270          
 245  L11    -1.440    -3.758     2    GND               1
 246  L12    -1.440    -3.719     2    +1.5VRUNVGA       484
 247  L13    -1.440    -3.679     2    FBA_A10           
 248  L15    -1.440    -3.640     2    FBA_WEA1#         
 249  L16    -1.440    -3.601     2    +1.5VRUNVGA       484
 250  L17    -1.440    -3.561     2    GND               1
 251  L18    -1.440    -3.522     2    N134904520        530
 252  L20    -1.440    -3.483     2    N134904518        529
 253  L21    -1.440    -3.443     2    +1.5VRUNVGA       484
 254  L22    -1.440    -3.404     2    GND               1
 255  L23    -1.440    -3.364     2    +1.5VRUNVGA       484
 256  L24    -1.440    -3.325     2    GND               1
 257  L26    -1.440    -3.286     2    +1.5VRUNVGA       484
 258  L27    -1.440    -3.246     2    N134903163        
 259  L28    -1.440    -3.207     2    PCIE_VDDC         485
 260  L29    -1.448    -3.175     2    NC__2271          
 261  L30    -1.448    -3.144     2    NC__2272          
 262  L31    -1.448    -3.112     2    GND               1
 263  L32    -1.448    -3.081     2    NC__2273          
 264  L33    -1.448    -3.050     2    NC__2274          
 265  L34    -1.440    -3.018     2    GND               1
 266  L36    -1.448    -2.971     2    NC__2275          
 267  L38    -1.448    -2.939     2    NC__2276          
 268   M1    -1.480    -4.010     2    FBCD15            
 269   M3    -1.480    -3.979     2    FBCD16            
 270   M5    -1.480    -3.947     2    FBCD17            
 271   M6    -1.472    -3.916     2    FBCD14            
 272  M11    -1.480    -3.758     2    +1.5VRUNVGA       484
 273  M12    -1.480    -3.719     2    N134903395        164
 274  M13    -1.480    -3.679     2    FBA_CSA1_0#       
 275  M15    -1.480    -3.640     2    VDD_CORE          31
 276  M16    -1.480    -3.601     2    VDD_CORE          31
 277  M17    -1.480    -3.561     2    GND               1
 278  M18    -1.480    -3.522     2    VDD_CORE          31
 279  M20    -1.480    -3.483     2    VDDRHA            531
 280  M21    -1.480    -3.443     2    GND               1
 281  M22    -1.480    -3.404     2    GND               1
 282  M23    -1.480    -3.364     2    VDD_CORE          31
 283  M24    -1.480    -3.325     2    GND               1
 284  M26    -1.480    -3.286     2    VDD_CORE          31
 285  M27    -1.480    -3.246     2    N134903658        161
 286  M28    -1.480    -3.207     2    PCIE_VDDC         485
 287  M34    -1.472    -3.018     2    GND               1
 288  M35    -1.480    -2.987     2    NC__2277          
 289  M37    -1.480    -2.955     2    NC__2278          
 290  M39    -1.480    -2.924     2    GND               1
 291   N2    -1.511    -3.994     2    GND               1
 292   N4    -1.511    -3.963     2    FBCD18            
 293   N6    -1.503    -3.916     2    GND               1
 294   N7    -1.496    -3.884     2    FBC_A3            
 295   N8    -1.496    -3.853     2    FBC_A4            
 296   N9    -1.496    -3.821     2    FBC_A5            
 297  N10    -1.496    -3.790     2    FBC_WEB0#         
 298  N11    -1.519    -3.758     2    +1.5VRUNVGA       484
 299  N12    -1.519    -3.719     2    N134903165        162
 300  N13    -1.519    -3.679     2    VDD_CORE          31
 301  N15    -1.519    -3.640     2    VDD_CORE          31
 302  N16    -1.519    -3.601     2    GND               1
 303  N17    -1.519    -3.561     2    VDD_CORE          31
 304  N18    -1.519    -3.522     2    GND               1
 305  N20    -1.519    -3.483     2    VDD_CORE          31
 306  N21    -1.519    -3.443     2    GND               1
 307  N22    -1.519    -3.404     2    VDD_CORE          31
 308  N23    -1.519    -3.364     2    GND               1
 309  N24    -1.519    -3.325     2    VDD_CORE          31
 310  N26    -1.519    -3.286     2    GND               1
 311  N27    -1.519    -3.246     2    BIF_VDDC          1623
 312  N28    -1.519    -3.207     2    PCIE_VDDC         485
 313  N29    -1.496    -3.175     2    NC__2279          
 314  N30    -1.496    -3.144     2    NC__2280          
 315  N31    -1.496    -3.112     2    GND               1
 316  N32    -1.496    -3.081     2    NC__2281          
 317  N33    -1.496    -3.050     2    NC__2282          
 318  N34    -1.503    -3.018     2    GND               1
 319  N36    -1.511    -2.971     2    PEG_RXN_C7        1217
 320  N38    -1.511    -2.939     2    NC__2283          
 321   P1    -1.543    -4.010     2    FBCWDQS2          
 322   P3    -1.543    -3.979     2    FBCRDQS2          
 323   P5    -1.543    -3.947     2    FBCD20            
 324   P6    -1.535    -3.916     2    FBCD19            
 325   P7    -1.543    -3.884     2    +1.5VRUNVGA       484
 326   P8    -1.543    -3.853     2    FBC_A0            
 327   P9    -1.543    -3.821     2    FBC_A2            
 328  P10    -1.543    -3.790     2    FBC_CSB0_0#       
 329  P29    -1.543    -3.175     2    TXN7              67
 330  P30    -1.543    -3.144     2    TXP7              70
 331  P31    -1.543    -3.112     2    GND               1
 332  P32    -1.543    -3.081     2    TXN6              71
 333  P33    -1.543    -3.050     2    TXP6              66
 334  P34    -1.535    -3.018     2    GND               1
 335  P35    -1.543    -2.987     2    PEG_RXP_C7        1218
 336  P37    -1.543    -2.955     2    PEG_RXN_C6        1222
 337  P39    -1.543    -2.924     2    GND               1
 338   R2    -1.574    -3.994     2    GND               1
 339   R4    -1.574    -3.963     2    FBCD21            
 340   R6    -1.566    -3.916     2    GND               1
 341  R11    -1.559    -3.758     2    +1.5VRUNVGA       484
 342  R12    -1.559    -3.719     2    VDD_CORE          31
 343  R13    -1.559    -3.679     2    VDD_CORE          31
 344  R15    -1.559    -3.640     2    GND               1
 345  R16    -1.559    -3.601     2    VDD_CORE          31
 346  R17    -1.559    -3.561     2    GND               1
 347  R18    -1.559    -3.522     2    VDD_CORE          31
 348  R20    -1.559    -3.483     2    GND               1
 349  R21    -1.559    -3.443     2    VDD_CORE          31
 350  R22    -1.559    -3.404     2    GND               1
 351  R23    -1.559    -3.364     2    VDD_CORE          31
 352  R24    -1.559    -3.325     2    GND               1
 353  R26    -1.559    -3.286     2    VDD_CORE          31
 354  R27    -1.559    -3.246     2    GND               1
 355  R28    -1.559    -3.207     2    PCIE_VDDC         485
 356  R34    -1.566    -3.018     2    GND               1
 357  R36    -1.574    -2.971     2    PEG_RXN_C5        1223
 358  R38    -1.574    -2.939     2    PEG_RXP_C6        1221
 359   T1    -1.606    -4.010     2    FBCD23            
 360   T3    -1.606    -3.979     2    FBCDQM2           
 361   T5    -1.606    -3.947     2    FBCDQM3           
 362   T6    -1.598    -3.916     2    FBCD22            
 363   T7    -1.590    -3.884     2    FBC_ODTB0         
 364   T8    -1.590    -3.853     2    FBC_A13           
 365   T9    -1.590    -3.821     2    FBC_A1            
 366  T10    -1.590    -3.790     2    FBC_RASB0#        
 367  T11    -1.598    -3.758     2    GND               1
 368  T12    -1.598    -3.719     2    VDD_CORE          31
 369  T13    -1.598    -3.679     2    GND               1
 370  T15    -1.598    -3.640     2    VDD_CORE          31
 371  T16    -1.598    -3.601     2    GND               1
 372  T17    -1.598    -3.561     2    VDD_CORE          31
 373  T18    -1.598    -3.522     2    GND               1
 374  T20    -1.598    -3.483     2    VDD_CORE          31
 375  T21    -1.598    -3.443     2    GND               1
 376  T22    -1.598    -3.404     2    VDD_CORE          31
 377  T23    -1.598    -3.364     2    GND               1
 378  T24    -1.598    -3.325     2    VDD_CORE          31
 379  T26    -1.598    -3.286     2    GND               1
 380  T27    -1.598    -3.246     2    BIF_VDDC          1623
 381  T28    -1.598    -3.207     2    PCIE_VDDC         485
 382  T29    -1.590    -3.175     2    TXN5              78
 383  T30    -1.590    -3.144     2    TXP5              79
 384  T31    -1.590    -3.112     2    GND               1
 385  T32    -1.590    -3.081     2    TXN4              72
 386  T33    -1.590    -3.050     2    TXP4              73
 387  T34    -1.598    -3.018     2    GND               1
 388  T35    -1.606    -2.987     2    PEG_RXP_C5        1224
 389  T37    -1.606    -2.955     2    PEG_RXN_C4        1228
 390  T39    -1.606    -2.924     2    GND               1
 391   U2    -1.637    -3.994     2    GND               1
 392   U4    -1.637    -3.963     2    FBCD24            
 393   U6    -1.629    -3.916     2    GND               1
 394   U7    -1.637    -3.884     2    +1.5VRUNVGA       484
 395   U8    -1.637    -3.853     2    FBC_A7            
 396   U9    -1.637    -3.821     2    FBC_A6            
 397  U10    -1.637    -3.790     2    FBC_CKEB0         
 398  U11    -1.637    -3.758     2    +1.5VRUNVGA       484
 399  U12    -1.637    -3.719     2    GND               1
 400  U13    -1.637    -3.679     2    NC__2284          
 401  U15    -1.637    -3.640     2    GND               1
 402  U16    -1.637    -3.601     2    VDD_CORE          31
 403  U17    -1.637    -3.561     2    GND               1
 404  U18    -1.637    -3.522     2    VDD_CORE          31
 405  U20    -1.637    -3.483     2    GND               1
 406  U21    -1.637    -3.443     2    VDD_CORE          31
 407  U22    -1.637    -3.404     2    GND               1
 408  U23    -1.637    -3.364     2    VDD_CORE          31
 409  U24    -1.637    -3.325     2    GND               1
 410  U26    -1.637    -3.286     2    VDD_CORE          31
 411  U27    -1.637    -3.246     2    GND               1
 412  U28    -1.637    -3.207     2    PCIE_VDDC         485
 413  U29    -1.637    -3.175     2    TXN3              76
 414  U30    -1.637    -3.144     2    TXP3              77
 415  U31    -1.637    -3.112     2    GND               1
 416  U32    -1.637    -3.081     2    TXN2              68
 417  U33    -1.637    -3.050     2    TXP2              69
 418  U34    -1.629    -3.018     2    GND               1
 419  U36    -1.637    -2.971     2    PEG_RXN_C3        1220
 420  U38    -1.637    -2.939     2    PEG_RXP_C4        1227
 421   V1    -1.669    -4.010     2    FBCD26            
 422   V3    -1.669    -3.979     2    FBCD27            
 423   V5    -1.669    -3.947     2    FBCRDQS3          
 424   V6    -1.661    -3.916     2    FBCD25            
 425  V11    -1.677    -3.758     2    GND               1
 426  V12    -1.677    -3.719     2    VDDRHB            532
 427  V13    -1.677    -3.679     2    NC__2285          
 428  V15    -1.677    -3.640     2    VDD_CORE          31
 429  V16    -1.677    -3.601     2    GND               1
 430  V17    -1.677    -3.561     2    VDD_CORE          31
 431  V18    -1.677    -3.522     2    GND               1
 432  V20    -1.677    -3.483     2    VDD_CORE          31
 433  V21    -1.677    -3.443     2    GND               1
 434  V22    -1.677    -3.404     2    VDD_CORE          31
 435  V23    -1.677    -3.364     2    GND               1
 436  V24    -1.677    -3.325     2    VDD_CORE          31
 437  V26    -1.677    -3.286     2    GND               1
 438  V27    -1.677    -3.246     2    VDD_CORE          31
 439  V28    -1.677    -3.207     2    PCIE_VDDR         1557
 440  V34    -1.661    -3.018     2    GND               1
 441  V35    -1.669    -2.987     2    PEG_RXP_C3        1219
 442  V37    -1.669    -2.955     2    PEG_RXN_C2        1226
 443  V39    -1.669    -2.924     2    GND               1
 444   W2    -1.700    -3.994     2    GND               1
 445   W4    -1.700    -3.963     2    FBCWDQS3          
 446   W6    -1.692    -3.916     2    GND               1
 447   W7    -1.685    -3.884     2    FBC_ODTB1         
 448   W8    -1.685    -3.853     2    FBC_A14           
 449   W9    -1.685    -3.821     2    FBC_A9            
 450  W10    -1.685    -3.790     2    FBC_CASB0#        
 451  W29    -1.685    -3.175     2    PCIE_VDDR         1557
 452  W30    -1.685    -3.144     2    PCIE_VDDR         1557
 453  W31    -1.685    -3.112     2    GND               1
 454  W32    -1.685    -3.081     2    TXN1              80
 455  W33    -1.685    -3.050     2    TXP1              81
 456  W34    -1.692    -3.018     2    GND               1
 457  W36    -1.700    -2.971     2    PEG_RXN_C1        1231
 458  W38    -1.700    -2.939     2    PEG_RXP_C2        1225
 459   Y1    -1.732    -4.010     2    FBCD29            
 460   Y3    -1.732    -3.979     2    FBCD30            
 461   Y5    -1.732    -3.947     2    FBCD31            
 462   Y6    -1.732    -3.916     2    FBCD28            
 463   Y7    -1.732    -3.884     2    +1.5VRUNVGA       484
 464   Y8    -1.732    -3.853     2    FBC_BA0           
 465   Y9    -1.732    -3.821     2    FBC_A8            
 466  Y10    -1.732    -3.790     2    FBC_RASB1#        
 467  Y11    -1.716    -3.758     2    +1.5VRUNVGA       484
 468  Y12    -1.716    -3.719     2    N134903440        533
 469  Y13    -1.716    -3.679     2    VDD_CORE          31
 470  Y15    -1.716    -3.640     2    GND               1
 471  Y16    -1.716    -3.601     2    VDD_CORE          31
 472  Y17    -1.716    -3.561     2    GND               1
 473  Y18    -1.716    -3.522     2    VDD_CORE          31
 474  Y20    -1.716    -3.483     2    GND               1
 475  Y21    -1.716    -3.443     2    VDD_CORE          31
 476  Y22    -1.716    -3.404     2    GND               1
 477  Y23    -1.716    -3.364     2    VDD_CORE          31
 478  Y24    -1.716    -3.325     2    GND               1
 479  Y26    -1.716    -3.286     2    VDD_CORE          31
 480  Y27    -1.716    -3.246     2    GND               1
 481  Y28    -1.716    -3.207     2    VDD_CORE          31
 482  Y29    -1.732    -3.175     2    N134861959        83
 483  Y30    -1.732    -3.144     2    N134861861        82
 484  Y31    -1.732    -3.112     2    PCIE_VDDR         1557
 485  Y32    -1.732    -3.081     2    TXN0              75
 486  Y33    -1.732    -3.050     2    TXP0              74
 487  Y34    -1.732    -3.018     2    GND               1
 488  Y35    -1.732    -2.987     2    PEG_RXP_C1        1230
 489  Y37    -1.732    -2.955     2    PEG_RXN_C0        1232
 490  Y39    -1.732    -2.924     2    GND               1
 491  AA2    -1.763    -3.994     2    GND               1
 492  AA4    -1.763    -3.963     2    FBCD32            
 493  AA6    -1.771    -3.916     2    GND               1
 494  AA7    -1.779    -3.884     2    FBC_A12           
 495  AA8    -1.779    -3.853     2    FBC_BA2           
 496  AA9    -1.779    -3.821     2    FBC_BA1           
 497 AA10    -1.779    -3.790     2    FBC_CASB1#        
 498 AA11    -1.755    -3.758     2    FBC_CKEB1         
 499 AA12    -1.755    -3.719     2    N134903438        534
